year cost
    1992.000  4168740.000
    1992.000  4843095.000
    1992.000   711138.000
    1992.000 14713200.000
    1992.000 12567525.000
    1992.000  2427678.000
    1992.000  2206980.000
    1992.000 12261000.000
    1992.000  3984825.000
    1992.000 14713200.000
    1992.000  3065250.000
    1992.000  5787192.000
    1992.000 18391500.000
    1992.000 19801515.000
    1992.000   490440.000
    1992.000  9808800.000
    1992.000 22069800.000
    1992.000 18391500.000
    1992.000  8030955.000
    1992.000   735660.000
    1992.000  3800910.000
    1992.000 46591800.000
    1992.000  6130500.000
    1992.000 16123215.000
    1992.000  1961760.000
    1992.000  4904400.000
    1992.000  5266099.500
    1992.000  9808800.000
    1992.000  6743550.000
    1992.000  9134445.000
    1992.000  4181001.000
    1992.000  5517450.000
    1992.000  4904400.000
    1992.000   882792.000
    1992.000  8582700.000
    1992.000  8582700.000
    1992.000   919575.000
    1992.000   490440.000
    1992.000 10789680.000
    1992.000   490440.000
    1992.000  1839150.000
    1992.000  1716540.000
    1992.000  6743550.000
    1992.000 18391500.000
    1992.000  2084370.000
    1992.000  3948042.000
    1992.000  9808800.000
    1992.000 24522000.000
    1992.000 16123215.000
    1992.000  6314415.000
    1992.000  2452200.000
    1992.000 16123215.000
    1992.000  4928922.000
    1992.000  4561092.000
    1992.000  2084370.000
    1992.000  3100561.680
    1992.000  3187860.000
    1992.000  3100561.680
    1992.000   490440.000
    1992.000 11770560.000
    1992.000  5640060.000
    1992.000  4904400.000
    1992.000  5027010.000
    1992.000  8766615.000
    1992.000   367830.000
    1992.000 13487100.000
    1992.000  8766615.000
    1992.000 19249770.000
    1992.000  5517450.000
    1992.000  2820030.000
    1992.000 16674960.000
    1992.000 16674960.000
    1992.000  4904400.000
    1992.000   490440.000
    1992.000 20475870.000
    1992.000  2206980.000
    1992.000  5640060.000
    1992.000  9073140.000
    1992.000  4904400.000
    1992.000  4904400.000
    1992.000  4904400.000
    1992.000  4904400.000
    1992.000 16123215.000
    1992.000 18391500.000
    1992.000  6743550.000
    1992.000  6743550.000
    1992.000  3065250.000
    1992.000  4413960.000
    1992.000  4904400.000
    1992.000 10237935.000
    1992.000  1839150.000
    1992.000  8582700.000
    1992.000  2206980.000
    1992.000  3310470.000
    1992.000  8582700.000
    1992.000   490440.000
    1992.000  2697420.000
    1992.000  9808800.000
    1992.000 24522000.000
    1992.000  3948042.000
    1992.000 12476793.600
    1992.000  6130500.000
    1992.000  5517450.000
    1992.000  4904400.000
    1992.000  2820030.000
    1992.000  8766615.000
    1992.000 11831865.000
    1992.000  5640060.000
    1992.000 10421850.000
    1992.000  8766615.000
    1992.000  8766615.000
    1992.000 11218815.000
    1992.000  4536570.000
    1992.000  7013292.000
    1992.000  6743550.000
    1992.000  6804855.000
    1992.000 12506220.000
    1992.000  1103490.000
    1992.000  4413960.000
    1992.000   490440.000
    1992.000  7479210.000
    1992.000  4904400.000
    1992.000  6130500.000
    1992.000   490440.000
    1992.000 11525340.000
    1992.000  8521395.000
    1992.000 73566000.000
    1992.000  7601820.000
    1992.000  2084370.000
    1992.000   735660.000
    1992.000  8582700.000
    1992.000 18391500.000
    1992.000  7847040.000
    1992.000  7724430.000
    1992.000  5640060.000
    1993.000   150000.000
    1993.000   600000.000
    1993.000  4000000.000
    1993.000   600000.000
    1993.000   600000.000
    1993.000   600000.000
    1993.000  9150000.000
    1993.000   600000.000
    1993.000   400000.000
    1993.000  3200000.000
    1993.000   600000.000
    1993.000   600000.000
    1993.000 17650000.000
    1993.000 11150000.000
    1993.000   600000.000
    1993.000  4600000.000
    1993.000  1600000.000
    1993.000 12150000.000
    1993.000  6550000.000
    1993.000  1400000.000
    1993.000   750000.000
    1993.000   520000.000
    1993.000  8750000.000
    1993.000   750000.000
    1993.000  8100000.000
    1993.000   750000.000
    1993.000   750000.000
    1993.000  5350000.000
    1993.000 12800000.000
    1993.000  2300000.000
    1993.000  5350000.000
    1993.000   750000.000
    1993.000   300000.000
    1993.000  5250000.000
    1993.000   750000.000
    1993.000   300000.000
    1993.000  7200000.000
    1993.000  5900000.000
    1993.000   500000.000
    1993.000   750000.000
    1993.000   750000.000
    1993.000  7500000.000
    1993.000  4400000.000
    1993.000 40000000.000
    1993.000  8350000.000
